#
# conName	fromPadded	toPadded	fromUnPadded	toUnPadded	len	type	SNPqual	qualA	qualC	qualG	qualT	qual*	comment
#
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	0	4	0	4	5	MIRA							Assembled with MIRA
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	53	53	53	53	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	95	95	95	95	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	206	206	206	206	1	SRMc	89	90	0	89	0	0	
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	326	326	326	326	1	SRMc	90	0	90	0	90	0	
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	463	463	463	463	1	SRMc	89	0	90	89	0	0	
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	605	605	605	605	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	645	645	645	645	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	646	646	646	646	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	652	652	652	652	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	701	701	701	701	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	704	704	704	704	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	712	712	712	712	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	727	727	727	727	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	784	784	784	784	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	821	821	821	821	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	844	844	844	844	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	864	864	864	864	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	873	873	873	873	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	875	875	875	875	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	922	922	922	922	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	934	934	934	934	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	946	946	946	946	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	952	952	952	952	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	962	962	962	962	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	975	975	975	975	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	985	985	985	985	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1016	1016	1016	1016	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1020	1020	1020	1020	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1021	1021	1021	1021	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1027	1027	1027	1027	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1037	1037	1037	1037	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1038	1038	1038	1038	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1043	1043	1043	1043	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1048	1048	1048	1048	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1051	1051	1051	1051	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1153	1153	1153	1153	1	SRMc	90	0	90	0	90	0	
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1353	1353	1348	1348	1	SRMc	90	0	90	0	90	0	
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1473	1473	1468	1468	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1485	1485	1480	1480	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1488	1488	1483	1483	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1515	1515	1510	1510	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1517	1517	1512	1512	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1520	1520	1515	1515	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1525	1525	1520	1520	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1528	1528	1523	1523	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1540	1540	1535	1535	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1543	1543	1538	1538	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1544	1544	1539	1539	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1549	1549	1544	1544	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1553	1553	1548	1548	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1595	1595	1590	1590	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1612	1612	1607	1607	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1660	1660	1655	1655	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb_bb_bb	1679	1679	1674	1674	1	ESDN							
