#
# conName	fromPadded	toPadded	fromUnPadded	toUnPadded	len	type	SNPqual	qualA	qualC	qualG	qualT	qual*	comment
#
KR080729.1|Gyrodactylus_truttae_COI_bb	0	4	0	4	5	MIRA							Assembled with MIRA
KR080712.1|Gyrodactylus_teuchis_COI_bb	9	9	9	9	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	11	11	11	11	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	13	13	13	13	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	21	21	21	21	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	31	31	31	31	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	34	34	34	34	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	35	35	35	35	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	41	41	41	41	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	42	42	42	42	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	50	50	50	50	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	53	53	53	53	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	54	54	54	54	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	55	55	55	55	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	57	57	57	57	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	59	59	59	59	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	61	61	61	61	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	66	66	66	66	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	67	67	67	67	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	71	71	71	71	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	76	76	76	76	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	78	78	78	78	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	82	82	82	82	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	86	86	86	86	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	87	87	87	87	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	90	90	90	90	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	95	95	95	95	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	96	96	96	96	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	97	97	97	97	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	104	104	104	104	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	115	115	115	115	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	117	117	117	117	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	122	122	122	122	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	129	129	129	129	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	130	130	130	130	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	144	144	144	144	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	145	145	145	145	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	150	150	150	150	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	153	153	153	153	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	154	154	154	154	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	156	156	156	156	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	160	160	160	160	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	167	167	167	167	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	176	176	176	176	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	200	200	200	200	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	204	204	204	204	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	208	208	208	208	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	222	222	222	222	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	223	223	223	223	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	225	225	225	225	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	232	232	232	232	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	236	236	236	236	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	250	250	250	250	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	252	252	252	252	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	265	265	265	265	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	274	274	274	274	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	281	281	281	281	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	289	289	289	289	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	294	294	294	294	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	298	298	298	298	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	300	300	300	300	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	309	309	309	309	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	311	311	311	311	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	312	312	312	312	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	314	314	314	314	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	315	315	315	315	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	317	317	317	317	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	319	319	319	319	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	320	320	320	320	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	323	323	323	323	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	329	329	329	329	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	337	337	337	337	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	344	344	344	344	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	345	345	345	345	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	353	353	353	353	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	355	355	355	355	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	357	357	357	357	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	360	360	360	360	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	362	362	362	362	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	371	371	371	371	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	374	374	374	374	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	377	377	377	377	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	378	378	378	378	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	382	382	382	382	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	383	383	383	383	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	385	385	385	385	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	386	386	386	386	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	387	387	387	387	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	389	389	389	389	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	393	393	393	393	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	399	399	399	399	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	403	403	403	403	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	406	406	406	406	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	407	407	407	407	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	416	416	416	416	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	418	418	418	418	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	419	419	419	419	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	426	426	426	426	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	433	433	433	433	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	436	436	436	436	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	444	444	444	444	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	445	445	445	445	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	447	447	447	447	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	448	448	448	448	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	453	453	453	453	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	454	454	454	454	1	ESDN							
KR080712.1|Gyrodactylus_teuchis_COI_bb	457	457	457	457	1	ESDN							
