#
# conName	fromPadded	toPadded	fromUnPadded	toUnPadded	len	type	SNPqual	qualA	qualC	qualG	qualT	qual*	comment
#
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	0	4	0	4	5	MIRA							Assembled with MIRA
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	92	92	92	92	1	SRMc	85	0	87	0	85	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	111	111	111	111	1	SRMc	84	0	87	84	0	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	472	472	472	472	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	472	472	472	472	1	STMS							Solved vote:  / txt (4) C 30  is in  
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	618	618	618	618	1	SRMc	81	0	81	0	90	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	722	722	722	722	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	727	727	727	727	1	IUPc							Strain 'thy1': Y
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	727	727	727	727	1	STMS							Solved vote:  / txt (4) T 30  is in  
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	727	727	727	727	1	UNSc							high
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	761	761	761	761	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	762	762	762	762	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	763	763	763	763	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	785	785	785	785	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	788	788	788	788	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	793	793	793	793	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	796	796	796	796	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	886	886	886	886	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	898	898	898	898	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	1008	1008	1008	1008	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	1401	1401	1401	1401	1	SRMc	83	83	0	86	0	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	1489	1489	1489	1489	1	IUPc							Strain 'thy1': R
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	1489	1489	1489	1489	1	STMS							Solved vote:  / txt (4) A 30  is in  
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	1489	1489	1489	1489	1	UNSc							high
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	1558	1558	1558	1558	1	IUPc							Strain 'thy1': W
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	1558	1558	1558	1558	1	STMS							Solved vote:  / txt (4) T 30  is in  
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	1558	1558	1558	1558	1	UNSc							high
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	1598	1598	1598	1598	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	1802	1802	1802	1802	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	1806	1806	1806	1806	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	1837	1837	1837	1837	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	1853	1853	1853	1853	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	1938	1938	1938	1938	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	1987	1987	1987	1987	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	2275	2275	2275	2275	1	IUPc							Strain 'thy1': K
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	2275	2275	2275	2275	1	STMS							Solved vote:  / txt (4) T 30  is in  
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	2275	2275	2275	2275	1	UNSc							high
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb_bb_bb_bb	2507	2507	2507	2507	1	ESDN							
