#
# conName	fromPadded	toPadded	fromUnPadded	toUnPadded	len	type	SNPqual	qualA	qualC	qualG	qualT	qual*	comment
#
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	0	4	0	4	5	MIRA							Assembled with MIRA
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	70	70	70	70	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	205	205	205	205	1	SRMc	90	90	0	90	0	0	
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	315	315	315	315	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	432	432	432	432	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	477	477	477	477	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	534	534	534	534	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	542	542	542	542	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	605	605	605	605	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	610	610	610	610	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	631	631	631	631	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	706	706	706	706	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	848	848	848	848	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	855	855	855	855	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	913	913	913	913	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	918	918	918	918	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	958	958	958	958	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	963	963	963	963	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	979	979	979	979	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	1000	1000	1000	1000	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	1051	1051	1051	1051	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	1152	1152	1152	1152	1	SRMc	88	0	88	0	90	0	
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	1444	1444	1444	1444	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	1510	1510	1510	1510	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	1559	1559	1559	1559	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	1629	1629	1629	1629	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	1665	1665	1665	1665	1	ESDN							
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	1931	1931	1931	1931	1	SRMc	88	0	88	0	90	0	
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	2026	2026	2026	2026	1	SRMc	84	0	84	0	90	0	
tru1|Gyrodactylus_truttae_ciruclar_14823_bb_bb	2063	2063	2063	2063	1	SRMc	81	0	90	0	81	0	
