#
# conName	fromPadded	toPadded	fromUnPadded	toUnPadded	len	type	SNPqual	qualA	qualC	qualG	qualT	qual*	comment
#
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	0	4	0	4	5	MIRA							Assembled with MIRA
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	48	48	48	48	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	107	107	107	107	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	208	208	208	208	1	SRMc	79	79	90	0	0	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	259	259	259	259	1	SRMc	79	86	0	79	0	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	366	366	366	366	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	396	396	396	396	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	397	397	397	397	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	405	405	405	405	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	421	421	421	421	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	525	525	525	525	1	SRMc	87	87	90	0	0	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	645	645	645	645	1	SRMc	73	0	0	90	73	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	844	844	844	844	1	SRMc	82	0	0	90	82	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1047	1047	1047	1047	1	SRMc	88	0	0	90	88	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1145	1145	1145	1145	1	SRMc	82	0	0	90	82	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1211	1211	1211	1211	1	SRMc	87	87	90	0	0	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1370	1370	1370	1370	1	SRMc	30	0	30	90	81	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1536	1536	1536	1536	1	SRMc	76	0	0	90	76	0	
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1641	1641	1640	1640	1	ESDN							
teu2|Gyrodactylus_teuchis_ciruclar_14789_bb_bb_bb	1651	1651	1650	1650	1	ESDN							
